,pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta,prob_germ,germ
220,candonga,5,2,2394452,,2.82,4.529,1.05,7.908,,50,110,0.9986490167229214,1
221,candonga,5,2,2369064,,2.82,4.529,1.05,7.908,,50,110,0.9986490167229214,1
222,candonga,5,3,2481524,,2.76,4.439,1.05,8.116,,50,110,0.998209943966586,1
223,candonga,5,3,2517660,,2.76,4.439,1.05,8.116,,50,110,0.998209943966586,1
224,candonga,5,3,2495748,,2.76,4.439,1.05,8.116,,50,110,0.998209943966586,1
225,cb,6,1,2277896,,2.95,4.781,1.092,8.177,960.0,160,95,0.9992659905534286,1
226,cb,6,1,2201404,,2.95,4.781,1.092,8.177,960.0,160,95,0.9992659905534286,1
227,cb,6,1,2191416,,2.95,4.781,1.092,8.177,960.0,160,95,0.9992659905534286,1
228,cb,6,2,2911308,,1.88,4.755,1.227,7.819,960.0,160,95,0.8993350468439609,1
229,cb,6,2,2905112,,1.88,4.755,1.227,7.819,960.0,160,95,0.8993350468439609,1
230,cb,6,2,2950020,,1.88,4.755,1.227,7.819,960.0,160,95,0.8993350468439609,1
231,cb,6,3,2961048,,1.91,4.539,0.999,8.691,960.0,160,95,0.9113947452992259,1
232,cb,6,3,2937776,,1.91,4.539,0.999,8.691,960.0,160,95,0.9113947452992259,1
233,cb,6,3,2985456,,1.91,4.539,0.999,8.691,960.0,160,95,0.9113947452992259,1
234,cm,6,1,3894468,,0.71,3.949,1.037,7.163,1170.0,45,57,0.035355858411313265,0
235,cm,6,1,3936088,,0.71,3.949,1.037,7.163,1170.0,45,57,0.035355858411313265,0
236,cm,6,1,3816164,,0.71,3.949,1.037,7.163,1170.0,45,57,0.035355858411313265,0
237,cm,6,2,3901188,,0.88,3.247,1.036,8.006,1170.0,45,57,0.07531952735311048,0
238,cm,6,2,3918692,,0.88,3.247,1.036,8.006,1170.0,45,57,0.07531952735311048,0
239,cm,6,2,3988904,,0.88,3.247,1.036,8.006,1170.0,45,57,0.07531952735311048,0
240,cm,6,3,2387184,,2.6,3.638,0.933,6.325,1170.0,45,57,0.9962119400105546,1
241,cm,6,3,2432516,,2.6,3.638,0.933,6.325,1170.0,45,57,0.9962119400105546,1
242,cm,6,3,2421768,,2.6,3.638,0.933,6.325,1170.0,45,57,0.9962119400105546,1
243,ca,6,1,3169684,,1.68,4.226,0.917,8.777,1350.0,84,72,0.77735950640211,1
244,ca,6,1,3159320,,1.68,4.226,0.917,8.777,1350.0,84,72,0.77735950640211,1
245,ca,6,1,3219128,,1.68,4.226,0.917,8.777,1350.0,84,72,0.77735950640211,1
246,ca,6,2,2992528,,1.8,3.487,1.005,7.649,1350.0,84,72,0.8598509553600744,1
247,ca,6,2,3043192,,1.8,3.487,1.005,7.649,1350.0,84,72,0.8598509553600744,1
248,ca,6,2,3037716,,1.8,3.487,1.005,7.649,1350.0,84,72,0.8598509553600744,1
249,ca,6,3,3543184,,1.66,3.72,0.983,7.952,1350.0,84,72,0.7606767336344256,1
250,ca,6,3,3447104,,1.66,3.72,0.983,7.952,1350.0,84,72,0.7606767336344256,1
251,ca,6,3,3469772,,1.66,3.72,0.983,7.952,1350.0,84,72,0.7606767336344256,1
252,cabal,6,1,2211852,,1.83,3.93,0.83,7.09,,225,63,0.8759886030579112,1
253,cabal,6,1,2139388,,1.83,3.93,0.83,7.09,,225,63,0.8759886030579112,1
254,cabal,6,1,2137508,,1.83,3.93,0.83,7.09,,225,63,0.8759886030579112,1
255,cabal,6,2,2109388,,2.07,3.79,0.88,6.22,,225,63,0.9561607130455085,1
256,cabal,6,2,2096220,,2.07,3.79,0.88,6.22,,225,63,0.9561607130455085,1
257,cabal,6,2,2104812,,2.07,3.79,0.88,6.22,,225,63,0.9561607130455085,1
258,cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63,0.7691235545944544,1
259,cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63,0.7691235545944544,1
260,cabal,6,3,2575492,,1.67,3.93,0.87,6.74,,225,63,0.7691235545944544,1
261,candonga,6,1,2417224,,2.46,4.345,1.049,8.54,,20,105,0.9927137017074804,1
262,candonga,6,1,2371780,,2.46,4.345,1.049,8.54,,20,105,0.9927137017074804,1
263,candonga,6,1,2378016,,2.46,4.345,1.049,8.54,,20,105,0.9927137017074804,1
264,candonga,6,2,2400620,,1.94,4.163,0.955,7.919,,20,105,0.9221347757193249,1
265,candonga,6,2,2447832,,1.94,4.163,0.955,7.919,,20,105,0.9221347757193249,1
266,candonga,6,2,2446128,,1.94,4.163,0.955,7.919,,20,105,0.9221347757193249,1
267,candonga,6,3,2455276,,2.32,4.252,1.202,8.434,,20,105,0.9860301751373592,1
268,candonga,6,3,2432548,,2.32,4.252,1.202,8.434,,20,105,0.9860301751373592,1
269,candonga,6,3,2439688,,2.32,4.252,1.202,8.434,,20,105,0.9860301751373592,1
270,cb,7,1,3184048,,0.96,4.137,0.893,7.57,960.0,200,87,0.10603442393525347,0
271,cb,7,1,3174980,,0.96,4.137,0.893,7.57,960.0,200,87,0.10603442393525347,0
272,cb,7,1,3163276,,0.96,4.137,0.893,7.57,960.0,200,87,0.10603442393525347,0
273,cb,7,2,2948760,,0.93,4.05,0.995,7.502,960.0,200,87,0.09339826558986246,0
274,cb,7,2,2960092,,0.93,4.05,0.995,7.502,960.0,200,87,0.09339826558986246,0
275,cb,7,2,3015952,,0.93,4.05,0.995,7.502,960.0,200,87,0.09339826558986246,0
276,cb,7,3,3249036,,0.94,3.94,0.995,7.242,960.0,200,87,0.09745262594929473,0
277,cb,7,3,3341932,,0.94,3.94,0.995,7.242,960.0,200,87,0.09745262594929473,0
278,cb,7,3,3369656,,0.94,3.94,0.995,7.242,960.0,200,87,0.09745262594929473,0
279,cm,7,1,2409432,,2.23,4.049,1.01,7.42,1170.0,600,79,0.9788348362873476,1
280,cm,7,1,2410768,,2.23,4.049,1.01,7.42,1170.0,600,79,0.9788348362873476,1
281,cm,7,1,2388028,,2.23,4.049,1.01,7.42,1170.0,600,79,0.9788348362873476,1
282,cm,7,2,3162320,,2.02,3.762,1.029,7.403,1170.0,600,79,0.9451902065265386,1
