pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
ca,6,2,3037716,,1.8,3.487,1.005,7.649,1350,84,72
ca,6,3,3543184,,1.66,3.72,0.983,7.952,1350,84,72
ca,6,3,3447104,,1.66,3.72,0.983,7.952,1350,84,72
ca,6,3,3469772,,1.66,3.72,0.983,7.952,1350,84,72
cabal,6,1,2211852,,1.83,3.93,0.83,7.09,,225,63
cabal,6,1,2139388,,1.83,3.93,0.83,7.09,,225,63
cabal,6,1,2137508,,1.83,3.93,0.83,7.09,,225,63
cabal,6,2,2109388,,2.07,3.79,0.88,6.22,,225,63
cabal,6,2,2096220,,2.07,3.79,0.88,6.22,,225,63
cabal,6,2,2104812,,2.07,3.79,0.88,6.22,,225,63
cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63
cabal,6,3,2610052,,1.67,3.93,0.87,6.74,,225,63
cabal,6,3,2575492,,1.67,3.93,0.87,6.74,,225,63
candonga,6,1,2417224,,2.46,4.345,1.049,8.54,,20,105
candonga,6,1,2371780,,2.46,4.345,1.049,8.54,,20,105
candonga,6,1,2378016,,2.46,4.345,1.049,8.54,,20,105
candonga,6,2,2400620,,1.94,4.163,0.955,7.919,,20,105
candonga,6,2,2447832,,1.94,4.163,0.955,7.919,,20,105
candonga,6,2,2446128,,1.94,4.163,0.955,7.919,,20,105
candonga,6,3,2455276,,2.32,4.252,1.202,8.434,,20,105
candonga,6,3,2432548,,2.32,4.252,1.202,8.434,,20,105
candonga,6,3,2439688,,2.32,4.252,1.202,8.434,,20,105
cb,7,1,3184048,,0.96,4.137,0.893,7.57,960,200,87
cb,7,1,3174980,,0.96,4.137,0.893,7.57,960,200,87
cb,7,1,3163276,,0.96,4.137,0.893,7.57,960,200,87
cb,7,2,2948760,,0.93,4.05,0.995,7.502,960,200,87
cb,7,2,2960092,,0.93,4.05,0.995,7.502,960,200,87
cb,7,2,3015952,,0.93,4.05,0.995,7.502,960,200,87
cb,7,3,3249036,,0.94,3.94,0.995,7.242,960,200,87
cb,7,3,3341932,,0.94,3.94,0.995,7.242,960,200,87
cb,7,3,3369656,,0.94,3.94,0.995,7.242,960,200,87
cm,7,1,2409432,,2.23,4.049,1.01,7.42,1170,600,79
cm,7,1,2410768,,2.23,4.049,1.01,7.42,1170,600,79
cm,7,1,2388028,,2.23,4.049,1.01,7.42,1170,600,79
cm,7,2,3162320,,2.02,3.762,1.029,7.403,1170,600,79
cm,7,2,3107704,,2.02,3.762,1.029,7.403,1170,600,79
cm,7,2,3238180,,2.02,3.762,1.029,7.403,1170,600,79
cm,7,3,2543004,,2.6,3.981,1.094,7.234,1170,600,79
cm,7,3,2523928,,2.6,3.981,1.094,7.234,1170,600,79
cm,7,3,2547440,,2.6,3.981,1.094,7.234,1170,600,79
ca,7,1,2889232,,1.92,3.619,1.024,8.225,1350,1334,69
ca,7,1,2883080,,1.92,3.619,1.024,8.225,1350,1334,69
ca,7,1,2903844,,1.92,3.619,1.024,8.225,1350,1334,69
ca,7,2,4413076,,0.69,3.864,1.021,7.593,1350,1334,69
ca,7,2,4319816,,0.69,3.864,1.021,7.593,1350,1334,69
ca,7,2,4227628,,0.69,3.864,1.021,7.593,1350,1334,69
ca,7,3,2792472,,2.19,3.621,0.971,7.447,1350,1334,69
ca,7,3,2823756,,2.19,3.621,0.971,7.447,1350,1334,69
ca,7,3,2788300,,2.19,3.621,0.971,7.447,1350,1334,69
cabal,7,1,2645784,,1.36,3.62,1.03,7.19,,560,60
cabal,7,1,2640804,,1.36,3.62,1.03,7.19,,560,60
